Type	Exodiab_ID	Tissue	Charge	xylose	valine	uridine	uric acid	urea	tyrosine	tryptophan	tocopherol gamma	tocopherol beta NIST	tocopherol alpha	threonine	threonic acid	taurine	sucrose	succinic acid	stearic acid	shikimic acid	serine	pyrophosphate	"pyrazine 2,5-dihydroxy  NIST"	putrescine	pseudo uridine	proline	phosphoric acid	phosphoethanolamine	phenylalanine	pelargonic acid	palmitoleic acid	palmitic acid butyl ester NIST	palmitic acid	oxalic acid	ornithine	oleic acid	N-methylalanine	myristic acid	monopalmitin-1-glyceride	methionine	mannitol	maltose	lysine	linoleic acid	lignoceric acid	levoglucosan	leucine	lauric acid	lathosterol NIST	lactic acid	kynurenine	isothreonic acid	isonicotinic acid	isoleucine	inulobiose 2	inositol myo-	indole-3-lactate	indole-3-acetate	histidine	heptadecanoic acid	glycolic acid	glycine	glycerol-beta-phosphate	glycerol-alpha-phosphate	glycerol	glyceric acid	glutamine	glutamic acid	glucuronic acid	glucose	gluconic acid	fumaric acid	fructose	ethanolamine	erythritol	cystine	cysteine-glycine	cysteine	creatinine	conduritol-beta-epoxide	citrulline	citric acid	cholesterol	benzylalcohol	benzoic acid	behenic acid	aspartic acid	asparagine	arginine + ornithine	arachidonic acid	arachidic acid	alpha mannosylglycerate	alpha ketoglutaric acid	alanine	adipic acid	aconitic acid	4-hydroxyproline	3-hydroxybutanoic acid 	"3,6-anhydrogalactose"	2-phenylpropanol NIST	2-oxogluconic acid NIST	2-ketoisocaproic acid	2-hydroxyvaleric acid	2-hydroxybutanoic acid	2-deoxyerythritol NIST	2-aminoadipic acid	1-monostearin	1-monoolein	1-hexadecanol
Meta	Type	plasma	None	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite
Sample	376	plasma	None	4935	414224	797	74974	745955	154009	186768	11181	780	26836	88051	4626	8266	574	2137	527959	2247	111862	14580	707	2405	4891	84441	1195604	1277	66660	71867	6988	1189	66626	2471741	3762	10125	33908	4494	2573	20167	19274	2202	157829	5170	4996	1418	158508	6919	637	261582	863	5598	1671	160055	1358	25372	1432	8722	83652	12668	8183	247133	690	13085	122214	27622	527817	41363	1775	1765961	3696	2901	470991	516263	2173	25898	943	26093	37186	467	5354	163740	913272	17577	32743	8607	6028	29575	44834	25591	13723	120463	1499	183690	2375	891	11274	22587	2740	47859	1028	8844	6049	117141	8237	721	3100	6428	1409
Sample	273	plasma	None	4501	464009	1111	160254	695389	201650	160550	12544	1285	10778	77677	4870	6958	1201	3306	796903	4821	154424	18657	753	2910	11120	246505	1418598	988	75682	46369	19575		97407	766511	11425	28310	37742	7976	2728	25329	1539	397	154675	7138	4356	4605	224349	13638	659	463090	1169	8210	1624	181097	3878	36109	1885	2045	55388	16024	9113	240060	734	10524	179571	17596	426207	52430	4412	2204497	8854	3549	572347	509847	6321	55905	3127	23541	46603	939	9637	270651	708901	17227	34527	6148	7019	21513	74395	18394	19637	128663	1850	274863	3041	2227	10569	51570	3245	51783	624	5168		119568	10059	443	2803	3261	3296
Sample	175	plasma	None	4688	430513	880	134241	735761	166120	161660	14904	1236	19278	85051	1254	5275	706	5010	735799	1940	108704	11641	633	3693	6754	188634	932026	795	72561	70875	17725	1161	104838	2132060	3849	36779	61995	6677	1630	20285	3224	813	117322	11695	3122	1737	219692	12062	493	216811	720	5238	1123	154512	1670	29911	4398	1175	53159	20417	7097	271282	871	16084	162882	12600	466491	24523	1481	1652178	5081	3165	692781	496566	4047	60094	709	21910	27694	441	6317	201361	709820	14352	30954	7225	3735	26776	42044	20574	8771	247091	645	262693	1810	744	13498	115696	4448	34173	884	7011	5697	130293	15533	401	2338	8978	1183
Sample	163	plasma	None	4020	304001	1798	56087	830191	147153	188807	9924	1362	26013	85983	10140	6450	565	4944	910891	3118	143886	15755	918	4661	6518	163323	1526226	2353	70627	62857	11123		103987	1294192	3213	27108	53023	6636	882	20614	34225	9025	103743	10274	3152	2574	143757	13019	498	330681	481	5668	1575	92464	2013	31736	2215	11143	58838	19827	7747	214453	804	19799	125543	23920	411290	31311	2633	2022011	9049	2977	801704	283908	3811	35543	2499	26903	58317	742	6525	174862	739349	17777	28958	6394	6695	25218	46713	17760	17279	262342	1796	255018	3314	1510	15323	58472	4637	40222	726	7329		170490	13236	450	1418	2361	2555
Sample	179	plasma	None	7262	328559	546	124442	578738	117495	119343	7733	1044	16011	59462	3257	2285	1130	3975	827836	4054	88406	7076	591	7971	4175	31572	1517675	2192	48512	80942	9287	902	102297	3346389	3009	22995	49399	6099	1904	6869	16139	392	113785	6224	3538	1126	120336	16306	360	261987	475	5024	1010	222162	1111	26777	1593	3090	35226	17166	8569	184472	510	12086	148721	19551	278159	27472	1004	1370661	4404	2533	494023	430198	2925	19046	782	10153	10505	300	4015	135396	571872	12586	28270	9535	4761	20089	37728	23339	11123	156321	1046	277741	3038	570	1865	22080	3408	30207	1352	8337	6801	185378	11870	434	2288	3821	3339
Sample	442	plasma	None	4788	517456	2136	130733	686350	194113	216129	10196	847	18940	128186	9551	3179	844	2373	820456	6664	144154	19135	705	1661	6538	200702	1678079	1971	83315	79213	15560		114275	816292	20540	32356	105418	7744	3791	24770	22597	3243	145045	10529	4684	1316	260037	10430	603	318292	1039	4985	1214	149764	1523	34653	3127	7444	74013	18357	11697	80583	687	10233	143484	24468	668103	24098	2765	1946425	7046	3536	492035	186713	2614	41601	1891	23091	54109	998	10392	233653	726636	16829	27279	5270	5181	30691	53745	27474	10645	112057	1815	380943	2996	1907	13220	39094	2892	42447	658	9880		303067	6921	181	2933	20594	2314
Sample	201	plasma	None	5304	281575	1027	141909	676176	210101	194416	12591	733	16322	98128	6062	2843	552	9350	712951	3306	95802	9849	781	13241	5581	105096	845343	2056	53459	69869	10714	2487	100836	2544358	3222	16960	108996	7408	2403		2228	1622	192127	9483	5921	2947	105783	19785		347101	721	5349	3757	90807	1727	25534	2402	4393	60566	18129	11912	395775	873	14132	138344	24205	574704	22557	1194	1576607	4336	9693	529599	466103	4032	32652		19011	21511	560	7719	198396	654246	15445	34199		3704	30183	72510	26084	15987	166951	1028	547973	4934	1123	4250	8883	3517	40366	1390	6564	6577		10508	193	2364	13426	1440
Sample	340	plasma	None	2528	333208	1754	153135	1265815	154228	108322	7080	862	17747	82027	4891	5527	2273	3318	720656	4861	84899	14565	684	3513	10079	112797	1188852	2081	49877	57891	9093		77624	2096778	4731	11013	18583	5898	3923	17589	5666	1372	140322	4464	3983	1332	123432	8952	415	511564	839	7251	1125	148766	2280	55830	2139	2898	48994	12710	7740	182648	574	14827	146912	16762	567611	61646	7773	1487404	4406	2778	410134	276559	4588	39613	1274	18218	33943	2525	8260	168169	724340	15573	26639	7634	5862	20372	99960	22820	20008	109255	2464	602188	3741	1361	10952	19867	2069	40800	937	3586		51669	9679	663	3918	3936	2255
Sample	343	plasma	None	5817	306123	845	63715	669804	125425	143125	6978	1111	11414	67714	8079	2462	457	8609	452012	3065	86508	9098	863	3741	6328	94050	1517666	2966	56469	119153	5793	1548	52128	3391977	7478	9128	46603	4206	1259	14332	16244	747	183420	3834	3820	1883	110472	10509	504	292212	1290	4790	952	183227	1115	34450	2448	1761	57321	11395	9516	258671	648	14402	111365	20195	558159	23568	1707	1386558	4437	2594	393062	500903	2279	42573	1098	23917	23945	1253	9462	131236	504724	14423	28144	11110	3734	25407	102656	17851	10769	110801	1319	170976	2521	775	13823	56261	2045	35016	1260	5760	7245	105758	7177	371	1588	4001	2443
Sample	152	plasma	None	4680	158946	870	130168	629647	179881	157475	6307	975	15575	115562	4563	1407	392	7666	614540	1576	74459	11074	711	3426	6137	28514	1235905	916	43636	78489	3395	361	62429	3622606	3542	3879	58669	4326	1182	9346	12739	815	227819	4725	3554	1904	39651	10387	503	385561	446	4705	647	175012	709	28703	2143	3976	48714	10799	8277	416415	1842	24055	115342	16578	631907	42257	1300	913741	2363	3404	210083	534078	1962	37228	701	7882	21213	417	7124	140859	628265	13807	35281	11727	3296	31426	108250	28858	11375	126582	1147	458204	1982	692	15143	3343	1644	38876	370	3520	7663	69383	6813	456	1840	3041	1194
Sample	233	plasma	None	4353	339271	865	167839	725140	228509	181519	15051	1414	25450	126200	3127	3088	540	6489	700227	1091	71737	11617	861	25300	7966	107186	1516426	1850	56180	56454	6676	686	76900	2703475	2695	8591	58477	5220	1579	17823	13170	1362	192937	5712	3889	3125	121051	10278	773	277671	474	5022	1403	202368	1130	43991	3430	5590	54386	11471	7849	321004	657	18636	96314	21560	479048	36829	1584	1201267	1493	2885	256882	526092	3220	16413	1044	26065	31606	1586	6873	147479	764290	15300	29803	9499	3786	21311	76083	28269	9771	172256	2053	263587	3034	900	10739	10520	1611	38686	544	6088	6798	74319	7156	671	1948	5563	1871
Sample	325	plasma	None	4729	318633	1086	145014	683185	223131	183012	7281	945	15225	92407	11307	3034	1193	5220	630608	8515	141970	12167	898	2589	8250	124497	1918632	2088	62099	54892	20935	725	119175	2120131	9500	18253	47614	12762	9959	17741	11184	1382	207994	8368	4181	1623	129767	42482	462	487491	751	6987	1092	182996	1257	35824	3271	3439	46712	14369	8559	303031	788	18979	250753	24227	515658	33252	1375	1014609	2702	3056	169690	560164	4960	23390	767	15538	47091	1065	13172	187570	752080	17034	35570	9564	4689	19656	102142	36018	4696	80413	2487	311649	2836	1380	10713	14402	1333	46808	534	4720	4634	42927	7066	215	3757	48709	2485
Sample	406	plasma	None	3345	430856	938	198088	971902	158072	177553	14511	1510	36574	79073	4673	8605	4893	6070	636750	23265	121311	16768	774	16475	9811	188053	1439923	1788	56733	76821	2622		72227	1851259	9390	6982	45103	5624	1584	21078	14131	576	156193	7784	4288	2685	145780	11187	715	390945	597	7242	6859	107661	1375	42258	2162	3755	49987	11419	9036	206838	1038	29880	136396	40866	577008	82738	1753	1198312	2845	3875	261775	323237	4054	35391	834	28667	63425	3989	7391	141702	928501	19510	40735	6270	17432	33944	94192	43525	16798	176141	2852	614608	3532	819	13311	7042	1919	49549	940	4818		70804	8204	725	2618	7595	3912
Sample	341	plasma	None	3812	422647	628	170179	1283249	202604	204587	10729	417	17293	141422	13156	7155	590	5293	632187	3642	128963	20401	902	3149	12193	246372	1778597	1826	84993	75692	7632		80112	298037	16531	11575	28751	5504	1774	21557	10967	1335	75292	7293	5455	2564	130254	14192	838	812279	1801	7931	3645	100336	1825	49497	2737	3724	39378	14061	15902	88085	795	38721	259490	32717	645328	40159	2805	1756284	3671	3311	473544	137333	5381	56809	3095	34498	77116	1724	6272	253202	772860	24128	38355	5717	7675	26648	47369	58084	16995	264728	2509	312593	4140	1967	40453	5402	2513	56195	1617	4031		112017	13733	532	2546	7469	3872
Sample	110	plasma	None	3935	521560	946	166226	746095	269123	172169	2283	892	67541	91673	4496	8869	1227	3188	500123	1621	90514	15856	787	1535	8346	239812	1354866	2088	66380	64458	7505	1070	69414	2192441	4302	11911	60015	4885	2158	16361	96441	951	170670	6277	4596	2222	201854	8419	718	474265	732	7459	1899	171550	1039	61927	3281	4402	50897	11174	7204	222930	984	22118	162380	30612	507707	53643	2218	1168748	2376	2846	234929	518674	4830	37434	1085	34461	48223	3503	8668	146874	842252	18044	28724	6638	8732	19763	97277	32276	13699	96170	2204	220255	1894	1067	20889	22741	1532	39144	539	8400	8122	208171	8984	819	2226	8602	895
Sample	202	plasma	None	3002	196105	774	53446	666048	122797	99709	4808	1051	5257	90760	3407	2494	416	3439	505369	7452	52892	10371	537	1392	3916	75433	681454	1345	30423	47036	2888		52741	1957796	2622	4236	25226	4160	800	9986	6780	864	100304	3799	2935	2098	55212	10349	526	4651903	330	3684	1049	80396	603	19693	1597	3413	31599	8294	5164	124783	589	11096	96367	14822	429345	17835	947	698138	1336	3426	131175	337486	1881	14750	982	11215	27920	724	5444	119948	457047	15201	28506	5952	3398	18367	52001	14378	14107	109340	1266	396810	1787	822	7433	8848	962	40240	783	3205		35792	3860	290	1238	3620	2303
Sample	157	plasma	None	4189	365049	677	266879	873335	305374	185241	10264	1469	14590	118054	3445	2872	576	3715	774704	2110	94044	12130	1327	2655	9032	67796	1298067	1093	93016	94636	6030	1331	91022	1944131	5894	9206	61214	6441	1367	23814	14016	1154	198735	6747	4703	2710	117565	13672	684	222273	1525	6404	2624	104096	1179	36016	3089	9363	44788	13594	8207	451198	428	22288	179769	19698	506633	25373	1708	1317001	3126	3695	416623	609933	3014	31898	1104	19657	54467	1072	17499	172641	599981	18837	45082	9526	3820	25368	102419	36384	10258	193256	1111	359383	2158	955	9529	12999	2173	44780	745	6308	7299	57751	10210	589	1980	5777	2512
Sample	183	plasma	None	6987	143982	855	44890	802333	108843	104844	5453	1380	7836	58939	6338	2133	498	11353	465160	3477	51725	10008	884	4359	4843	32763	1032305	1017	31768	109518	3993	510	52412	4774864	2639	6721	45680	4455	1571	7906	7946	844	126609	8451	3867	1707	49367	13208	492	407280	292	4671	753	238763	589	24861	1981	1876	27735	9105	8537	384925	656	14471	118678	23289	364209	22682	1017	635854	1410	3765	106726	579771	2111	11983	1124	6448	17736	661	5752	153337	681746	17872	47587	12336	2518	23779	74046	18360	11420	52794	1216	352579	3210	297	16251	8818	869	42013	1018	2895	6049	254856	6344	319	2136	6355	1484
Sample	388	plasma	None	3996	396308	1205	64819	898450	199458	203794	1531	914	19163	126666	6153	5754	496	5935	522011	3367	93104	17005	848	1905	8862	177320	1210845	1766	67263	73341	5569		72969	2537716	4193	7829	32273	5327	1627	18712	10274	848	213330	6186	3627	3543	138230	11081	709	278575	924	8734	1445	108931	789	56426	4071	6383	48317	12823	9457	416168	925	25958	184147	37371	586841	24303	1977	849265	3468	4822	193376	659885	3650	31639	1162	16024	63874	2517	12265	228374	792374	24778	55093	7329	4332	23647	93486	45515	12512	74025	1501	627185	2508	845	17458	12273	1705	53539	299	5654		53800	7773	500	2334	5142	3138
Sample	218	plasma	None	4763	342023	690	168302	672432	186466	141552	7184	875	18509	74442	3576	2835	700	6290	454482	1324	68256	10543	771	2565	7570	91077	1149909	2185	56596	60928	6131	3626	64757	2580635	4427	8861	106577	4183	6199		16423	1758	187310	6183	3136	710	135821	13062		175707	782	4368	1210	84838	785	41718	2221	3111	50533	9994	4780	391666	604	22535	98515	24190	608555	17420	2022	1186350	2863	3754	410758	461703	4252	36540		16982	22831	5323	10525	142260	1855549	13224	28815		2764	25017	99064	29486	2819	85097	596	226175	2733	612	15958	8591	2330	30442	853	4740	5619		10979	718	5138	4945	1350
Sample	198	plasma	None	4866	227095	666	106074	194913	155217	164659	7213	1029	20303	111882	7137	2457	927	4628	741680	2210	100478	12703	819	3338	8895	77110	1017589	1979	42701	63979	2050	625	88061	4057769	2531	8002	52675	4815	1697	13790	10623	1077	188070	7916	3079	573	58694	9410	511	420364	694	7201	728	166230	823	45896	3459	4094	46586	12458	13968	585848	1316	38305	128207	22067	637199	18677	1912	750819	3191	3180	195074	509108	4022	32931	948	12636	27705	4524	8465	278869	498066	15409	40544	10490	2716	22802	94661	50326	10234	126317	1399	324664	1950	1020	9397	13134	1331	40310	450	3332	4717	126339	8114	528	2534	5571	1571
Sample	33	plasma	None	7033	350496	1425	190391	916948	104758	161612	3319	829	30177	91334	4253	2874	17821	3596	641255	115244	75960	11848	558	22888	7068	130743	1504954	2301	57460	65445	8853		89948	1785556	2560	13846	39452	9350	1806	20774	19016	3214	192624	5340	4672	2527	121286	18689	944	533053	750	6106	6908	103485	1171	34377	4645	3113	44793	14265	8925	141965	574	14343	158020	36996	454033	45621	2035	1453912	4238	4142	474261	345064	3258	34536	960	22160	61984	1717	6302	211650	610587	16642	61471	8201	14140	57485	41334	29840	69025	136568	5410	529677	2877	974	16628	22869	2392	39024	1155	11159		191113	10470	681	2110	4270	11441
Sample	345	plasma	None	7246	242784	796	179160	728587	181972	171792	12265	1338	13286	50171	1409	971	3375	5252	557505	1444	54678	9262	808	2834	8145	46983	1653359	1647	44492	65234	5482	564	66296	2744028	3002	5764	90461	4605	1517		18665	2170	120696	4478	3507	1838	53821	13338		6866	1008	6556	868	47193	1476	31664	2122	5523	54465	12787	12221	365998	827	26434	107664	15027	605794	45713	2576	1604567	4756	3189	651054	519821	2824	34290		17060	20705	957	8665	180450	642995	22882	32874		3579	18894	66565	24021	11212	106171	1164	380900	2663	752	9791	7329	3883	40081	1326	4707	4574		15373	403	2162	5257	2244
Sample	266	plasma	None	5539	293813	928	65836	169115	193308	146976	6519	533	18825	123565	4391	3149	344	5992	476302	1494	72403	11446	922	1918	5239	119507	949434	1531	59379	38272	15653	1042	77351	3710379	4283	29547	58195	4644	1821	19640	19625	1889	180313	7390	2249	2116	120941	7543	526	390517	548	5101	915	174906	1170	35052	2885	2160	49208	12748	10980	279191	577	10709	163637	16777	472935	38787	1861	1402404	3780	2759	432271	412573	2506	25496	926	14069	21938	698	8433	192172	632373	13779	25892	8251	3409	28391	96214	19014	10792	105976	1542	518614	2071	1223	39928	27021	2090	32162	849	6336	4656	169986	7639	514	1959	5750	996
Sample	171	plasma	None	6165	409415	1172	179765	704033	172436	180634	9398	546	21343	102103	3247	3702	862	2732	816586	2333	133535	11895	787	2745	6988	188239	1513446	2166	81992	75627	13110		112587	1152413	7231	29140	48564	7619	2597	25343	3211	2041	171896	11530	2870	1227	170255	13898	602	527829	953	6919	1468	126595	1089	34076	2337	2554	55154	19151	8478	228665	853	24462	168923	26006	636142	42115	1530	1548713	5624	3961	572137	421986	3682	38592	1688	28613	34044	1942	9775	189121	668712	18491	34967	6341	6048	33819	65043	48512	16146	62090	967	541005	3060	980	16582	27000	3279	44545	872	10660		178924	14464	698	3614	5399	2526
Sample	422	plasma	None	5819	272863	1018	139859	702259	142617	128903	6973	525	17415	78184	8015	3184	254	8958	534238	2654	68348	8266	845	2443	6187	38103	1225470	1929	48253	36781	7510	1172	71326	3859089	3788	11869	2843	4948	917		17766	2986	151882	5239	3741	2140	92089	14687		249577	718	5538	1804	75796	1249	38958	2698	8780	58060	11912	7267	243431	712	12262	123173	26845	518831	34680	2910	1427382	3904	5448	359718	438718	3030	36480		18701	16644	1638	8538	174481	625143	13560	39280		3692	27713	108470	20376	1297	88383	1321	310688	3703	682	5172	23527	2380	31513	1185	5687	6280		9290	442	1578	3008	1338
Sample	94	plasma	None	7660	487914	1190	98607	571354	197337	168377	9833	1335	16151	168964	2577	7531	948	3406	732262	3207	135680	16428	600	1996	5658	147348	1822006	2021	79910	85077	2466		86514	927264	6856	18164	64769	7367	1455	20894	1525	3433	100846	6878	3825	1705	194231	14145	867	370509	496	5427	1818	135519	1651	32760	2000	3115	67771	16535	9529	163640	808	15468	104810	20266	659477	50306	3384	2080706	5325	3218	644208	243087	2538	48953	1415	31417	55601	574	7190	195548	788657	18797	45545	6497	5983	26299	44456	27065	17582	208458	1111	302138	3600	1113	15195	12715	3358	48903	1315	7051		166516	10984	523	2059	7814	2563
Sample	385	plasma	None	6441	299921	999	119435	695905	132784	109656	7292	879	13081	113779	2451	2130	319	2941	749310	9375	114211	9085	1122	2443	5269	61417	1289047	3707	58979	60635	11125	444	103602	2994474	5368	25438	40271	6056	1230	17734	467	2256	141186	8681	3554	1451	145872	11990	330	276063	462	4878	1589	186543	748	23110	1737	2860	60412	16420	8961	298449	802	13212	117612	10502	462234	14511	1365	1461862	4822	3026	464651	444148	4950	32198	868	23508	48513	477	13641	155916	611254	14965	33541	9242	4120	23890	89795	24820	2256	129633	995	201521	1974	785	3664	67720	2317	40383	1286	4218	5233	155728	7927	362	1448	3880	1801
Sample	261	plasma	None	6994	328604	1214	94139	699811	172052	110472	3833	1095	21622	101215	10225	6835	576	3364	1001432	1699	98455	15522	803	1727	5406	129164	1086871	2908	60160	90007	13609	1606	100557	1210342	5863	22819	65277	6513	2322	17552	22793	791	168326	11609	3821	1536	139053	12368	668	455669	582	6316	3300	141252	1240	48980	1244	4628	44248	19118	7259	210389	801	16997	129287	25477	401561	29354	2467	2652298	5435	1986	561018	399102	2894	18154	1350	25666	55597	2962	10452	171487	780114	12515	31962	8465	5149	20526	85748	26509	14709	173929	1320	280996	2535	1133	9370	19769	2389	44015	353	6103	11690	107259	12177	646	1666	15190	1509
Sample	374	plasma	None	4959	555962	1312	144362	410431	143656	185852	10358	1569	19598	113245	3685	5536	434	3209	745307	2954	196150	18433	754	2219	7680	354339	1952693	2222	70952	70247	19507		129257	355822	11975	51487	84490	7199	3295	20357	9452	5170	87069	16087	3975	1591	268641	11683	730	107023	906	6034	1601	184059	2021	35999	1628	4242	56008	22193	11144	88952	393	17599	184004	16785	505768	41297	2593	2152955	7000	3745	769540	156489	4668	59962	1930	36519	53494	589	6688	268326	807895	18208	29519	6260	5930	24323	50161	32556	15706	234399	1206	421039	2083	2221	46940	63425	4735	51176	822	8502		214854	13436	498	3349	10195	2452
Sample	226	plasma	None	5468	380238	793	153907	619520	226082	163844	9007	634	24011	131536	3922	5271	1911	4867	708293	1726	88828	12107	888	6244	8054	131621	1237709	1422	59781	56486	14441		117214	2225267	6568	32660	47111	7152	2424	18626	18592	486	159014	11698	3424	1914	137157	9584	1525	289105	1190	5704	2439	136973	1846	42949	1905	1147	55203	18129	5374	205284	572	15830	155125	29837	675249	38976	2867	1502785	4024	2643	499379	366649	3550	37952	1387	25861	37863	2313	9138	179306	772421	14333	33198	6432	4432	31055	97077	27001	15633	155093	1051	362165	3378	949	12160	59768	3230	38374	1041	4540		112702	11877	740	1945	10485	1287
Sample	378	plasma	None	7585	258966	1914	52304	1128876	127808	121941	5947	4993	13984	80032	4593	1062	1259	16342	649759	25223	83650	6391	1412	3021	3676	71362	1111172	4935	42498	172462	10409	4229	114443	2341905	9798	18548	120201	11159	2402	17973	11982	2293	28412	9157	16350	3377	89590	31746	2162	441838	1288	4163	6952	242703	1193	25675	1703	4309	32176	17594	45097	55339	2402	16182	484496	20106	301967	20674	1965	2071663	4338	9747	303342	107491	3210	20688	1317	12302	44121	1543	10307	145745	628197	21707	67598	24597	5044	27961	24386	13693	25638	44529	1892	566887	7053	1812	14595	16015	2293	39703	2307	3792	13045	106457	11953	909	3006	5911	6027
Sample	315	plasma	None	4233	683494	727	180532	815878	233151	212410	3732	975	34030	128157	3601	4302	290	2331	660865	2823	122582	17963	466	1581	9324	295384	1435691	2259	90508	58199	4819		70513	403561	19132	4683	60610	5401	1834	26701	12738	2215	52757	3922	3303	7180	252160	10761	673	542092	1620	7920	2361	142155	1246	42276	3545	10978	60543	14651	9025	59428	584	19008	86047	22450	709252	44542	2405	1762717	4519	2517	454758	89917	4609	45838	1304	38019	67044	1171	5968	192993	769763	17110	29872	4765	6584	30057	26767	28096	3504	183072	1306	1244514	2630	1720	18910	7545	2816	44915	296	7150		144848	10406	696	2253	5215	3183
Sample	347	plasma	None	5664	331843	1045	174489	121900	164134	145599	9620	1144	23300	76554	2986	4716	443	5705	506723	1118	94690	8319	728	2296	5813	106099	1121260	2891	51526	55942	6233	1454	62155	3560695	3040	11286	40836	3618	1013	13505	19498	628	139198	5355	3045	1170	1	7654	522	314946	924	5872	698	191007	1360	40046	2517	4022	53855	13055	8904	271208	603	18476	85855	20840	511751	25679	2213	1539402	4191	2807	589449	498800	3462	37757	925	19532	21707	2025	6282	176641	724055	13852	31738	9902	3283	24917	75691	25684	10617	54754	832	381582	1789	607	29252	11032	3152	34897	919	5212	6139	147823	10722	569	1804	3661	1194
Sample	142	plasma	None	5199	216263	896	161342	173743	126998	103093	14072	1417	24056	59272	12020	7434	428	3164	620735	2249	58730	10935	832	2836	12385	72967	1263918	4137	42066	36065	21272	1555	148817	2742708	1888	66262	69316	6939	5708	11574	3906	1687	173713	19695	2686	9986	84620	7680	603	432529	662	7046	658	168587	1157	34402	2045	2109	45624	23432	7350	337960	743	30037	325359	21569	481907	31046	9106	1460008	4846	2756	486345	501297	4934	37624	1475	14125	20864	3742	6053	172768	819732	13870	27072	8342	3148	19060	55725	34722	10309	151843	1137	510053	1451	1258	13830	26990	2412	35012	649	3605	9597	88136	11927	509	3211	46898	1414
Sample	227	plasma	None	3818	424682	1623	152180	603072	196811	197845	10695	1056	22133	88108	3429	4491	418	3394	751336	2270	108621	17630	659	1617	8604	314320	1492908	1880	75982	52069	9134		92685	1028277	7979	16038	40931	7751	1597	17688	15656	1110	81868	7715	4454	1417	167605	13282	778	450158	787	6385	1040	130330	1296	55365	1927	3877	66684	17858	6057	120805	705	17076	169343	25366	702563	30105	2303	1716844	4978	3214	462320	182894	4871	49190	1305	31919	56607	3507	7105	280184	704844	16869	36673	6203	3694	24674	50188	30686	8481	140436	1700	1067538	2107	2065	8805	29141	2359	37356	867	6342		126169	10039	433	1981	5710	2006
Sample	160	plasma	None	5641	324166	971	141825	675753	187764	119555	7656	971	16543	97585	9766	13292	2834	5299	965176	1918	111567	11776	627	2610	11290	134475	1110188	2894	67370	62462	25275	1489	147857	1877473	5345	52130	51483	10022	1694	23065	18573	869	141857	20464	2982	2360	181103	12930	448	456316	1048	7981	1498	157044	1184	52476	1698	5185	47331	22540	6748	499128	705	15262	229476	27859	587839	30294	2963	1383706	4852	2982	494916	439967	4272	40520	1100	17458	43597	6301	10507	192801	622801	12227	33709	6409	4844	31503	136666	20053	11046	60806	972	219731	2356	1480	22852	95573	2625	35433	762	4628	6348	171106	12061	776	1443	13628	1158
Sample	336	plasma	None	3967	543246	1493	166434	607425	195817	243372	14630	1332	18948	116571	6569	5993	1621	2687	841537	5658	167175	18625	786	1639	7250	245094	1508501	477	74555	59694	10235		103388	1305177	18959	24480	52437	7412	1614	25551	23129	1211	141982	13475	4349	4163	264554	11385	568	250783	1204	7163	1639	183167	1406	52007	3241	4545	84527	15136	9975	229039	586	16602	179365	23997	521383	51744	2624	1704912	5003	3268	315842	215578	4060	47571	2056	24711	69556	3332	11386	124151	869882	18726	30862	6885	6705	24469	100706	24350	4458	72938	1796	564015	2472	1125	17924	49924	2200	43889	456	6584		82420	9096	551	2511	5840	2441
Sample	267	plasma	None	4635	400430	1339	205015	2578890	158574	158311	12754	931	21287	103404	3618	7508	395	4267	750450	2281	162860	13157	628	4687	9682	285841	997340	1146	69113	52466	2277		94383	607468	13732	27983	42162	6542	1897	25620	19860	650	177167	9816	3722	1868	215108	9504	358	150087	1125	5295	4708	133188	1163	43826	2431	4410	54268	16099	5594	323457	573	13351	120433	16434	607425	41639	2345	1507669	5538	2086	508478	384018	3844	47872	1161	23187	58557	1376	9564	147473	649659	15118	25209	5394	9834	26395	87865	22198	12476	156199	1286	229092	2745	1060	18022	50607	2666	36493	968	5878		99249	10323	391	2299	7597	1128
